title_1,reference-count,subj,year,month,day,row_num
Art. IX.—Sassanian Inscriptions,45,"General Arts and Humanities, Cultural Studies",1867,1,,7
"III.—On Subaërial Denudation, and on Cliffs and Escarpments of the Chalk and Lower Tertiary Beds",43,Geology,1867,10,,8
Untersuchung über die Aenderung der Fortpflanzungsgeschwindigkeit des Lichtes im Wasser durch die Wärme,43,General Physics and Astronomy,1867,,,9
Die Grundsätze der Schafzüchtung,42,,1867,,,10
Pharmakologische Untersuchungen über das Physostigmin und Calabarin,192,"Pharmacology, General Medicine",1876,5,,1
Ueber Ataxie mit besonderer Berücksichtigung der hereditären Formen,155,"Cell Biology, Molecular Biology, General Medicine, Pathology and Forensic Medicine",1876,10,,2
Algemeene Bepalingen,141,,1876,,,3
Art. I.—<i>Bactrian Coins and Indian Dates</i>,133,"General Arts and Humanities, Cultural Studies",1876,1,,4
Het Indisch Centraal Bestuur,119,,1876,,,5
Van Misdaden Tegen de Dienst en de Subordinatie,113,,1876,,,6
Van de Straffen,112,,1876,,,7
Van Diefstal en Roof,97,,1876,,,8
"Ueber die chemische Constitution der Braunsteine, ein Beitrag zur Kenntniss der Werthigkeit des Mangans",92,,1876,2,15,9
Beiträge zur Entwicklung der Myopie,89,"Cellular and Molecular Neuroscience, Sensory Systems, Ophthalmology",1876,9,,10
Terpene und Campher,3485,,1912,,,1
Terpene und Campher,2747,,1912,,,2
D. Die einzelnen romanischen Sprachen und Literaturen.,1675,"Literature and Literary Theory, Linguistics and Language, Language and Linguistics",1912,,,3
Blut und Blutkrankheiten,1037,,1912,,,4
Die Flechtenstoffe,1000,,1912,,,5
"Erkrankungen der Drüsen mit innerer Sekretion, Stoffwechsel- und Konstitutionskrankheiten",936,,1912,,,6
Wellenlänge. Absorption und Emission. Reflexion. Brechung,922,,1912,,,7
Die angeborenen Systemerkrankungen des Skeletts,883,,1912,,,8
"Die neueren Ergebnisse in der Lehre der akuten und chronischen Erkrankungen des Pankreas, mit besonderer Berücksichtigung der entzündlichen Veränderungen",824,,1912,,,9
Dichte und Ausdehnung von Lösungen,812,,1912,,,10
Erkrankungen und Tumoren des Mediastinums,3119,,1970,,,1
Pathologie und Klinik der Lepra,2811,,1970,,,2
Die hämolytischen Anämien,2652,,1970,,,3
Energy levels of light nuclei A = 13–15,2245,Nuclear and High Energy Physics,1970,8,,4
REFERENCES,1787,,1970,,,5
Nineteenth rheumatism review. Part-III,1733,"Pharmacology (medical), Immunology, Rheumatology, Immunology and Allergy",1970,9,,6
REFERENCES,1726,,1970,,,7
Supplementary References,1645,,1970,,,8
A Monograph of the Western Hemisphere Bumblebees (Hymenoptera: Apidae; Bombinae),1626,,1970,,,9
ROCKETS AND SATELLITES,1538,,1970,,,10
References,4587,,2002,,,1
Literatur,3551,,2002,,,2
References,3301,,2002,,,3
Leadership: a selected bibliography,2717,,2002,6,1,4
Cardiovascular activity1,2645,,2002,,,5
Bibliography,2592,,2002,,,6
Psychotropic and neurotropic activity1,2561,,2002,,,7
Reductive Aminations of Carbonyl Compounds with Borohydride and Borane Reducing Agents,2211,,2002,1,9,8
References,2018,,2002,,,9
References,2005,,2002,,,10
"Versuche, um die eigentliche Grundkette der Voltaischen Säule auszumitteln",50,General Physics and Astronomy,1802,,,1
Untersuchungen über die Natur der Voltaischen Säule,25,General Physics and Astronomy,1802,,,2
Ueber die sogenannte galvanische Electricität,16,General Physics and Astronomy,1802,,,3
"XIII. <i>Reflections on the new primary planet supposed to exist between Mars and Jupiter, and now in all probability discovered</i>",15,,1802,1,,4
"Schreiben des Herrn Dr. Martinus van Marum an Herrn Alex. Volta, Professor zu Pavia, über die Versuche mit der electrischen Säule, welche er und der Prof. Pfaff in dem Teylerschen Laboratorium zu Harlem im Nov. 1801 angestellt haben",10,General Physics and Astronomy,1802,,,5
XLI. <i>Description and natural history of the wild goat of the alps</i>,9,,1802,4,,6
Vermischte physikalische Bemerkungen,9,General Physics and Astronomy,1802,,,7
Versuche über das vorgebliche gasförmige Kohlenstoffoxyd oder kohligsaure Gas,8,General Physics and Astronomy,1802,,,8
"Bemerkungen über ein an den Ringmauern von Berlin beobachtetes optisches Phänomen, ein Beitrag zur Theorie der Luftspiegelung",6,General Physics and Astronomy,1802,,,9
Ueber das Verschlucken des Sauerstoffgas durch die Voltaische Säule,6,General Physics and Astronomy,1802,,,10
"Untersuchungen über den krystallisirten Arsenikkies, oder Mispikel von Freyberg in Sachsen",14,General Physics and Astronomy,1814,,,1
"Theorie der Flüssigkeit und Festigkeit, und Beziehung derselben auf Electricitäts-Erregung und auf Begründung chemischer Erscheinungen; in drei Abhandlungen",14,General Physics and Astronomy,1814,,,2
"Versuch über den sogenannten Schwefel-Alkohol, oder den Schwefel-Kohlenstoff",13,General Physics and Astronomy,1814,,,3
"Analyse zweier Magnetkiese, und Untersuchungen über den künstlichen Magnetkies",10,General Physics and Astronomy,1814,,,4
Auszug aus einem Schreiben des Hrn. Professor Berzelius an den Prof. Gilbert,9,General Physics and Astronomy,1814,,,5
"Aufsätze über den in der Sode aus Tang entdeckten merkwürdigen, chemisch - einfachen Körper, Jode, Jodine, oder violettes Gas genannt, und über die Jode-Wasserstoff - Säure (acide hydrojodique);",9,General Physics and Astronomy,1814,,,6
Beobachtungen über die Absorption der Gasarten durch verschiedene Körper,9,General Physics and Astronomy,1814,,,7
Einige Nachträge zu den Aufsätzen über die Jodine in St. I und 3 dieses Bandes,8,General Physics and Astronomy,1814,,,8
"Untersuchungen über die ungewöhnliche Strahlenbrechung, welche zuweilen nahe am Horizonte Statt findet",8,General Physics and Astronomy,1814,,,9
"Untersuchungen über die ungewöhnliche Strahlenbrechung, welche zuweilen nahe am Horizonte Statt findet",7,General Physics and Astronomy,1814,,,10
XI. Some Observations on the natural Family of Plants called Compositae.,54,,1818,2,,1
"Bemerkungen zu den Bemerkungen des Herrn Humphry Davy über meine frühern Versuche und Ansichten, die Gränze der Entzündlichkeit brennbarer Gasgemenge betreffend",24,General Physics and Astronomy,1818,,,2
"Nachrichten des Herrn John Mawe, von dem Vorkommen und Gewinnen der Diamanten, anderer Edelsteine und edler Metalle in Brasilien",15,General Physics and Astronomy,1818,,,3
"LIV. <i>Conjectures concerning the cause, and observations upon the phænomena, of earthquakes; particularly of that great earthquake of the first of November</i> 1775, <i>which proved so fatal to the city of Lisbon, and whose effects were felt as far as Africa, and more or less throughout almost all Europe</i>",14,,1818,11,,4
"XLI. <i>Conjectures concerning the cause, and observations upon the Phænomena, of earthquakes; particularly of that great earthquake of the first of November</i> 1755, <i>which proved so fatal to the city of Lisbon, and whose effects were felt as far as Africa, and more or less throughout almost all Europe</i>",8,,1818,10,,5
Beobachtungen über die irdische Strahlenbrechung und sogenannte Luftspiegelung in den Steppen des Saratowschen und des Astrachanschen Gouvernments,8,General Physics and Astronomy,1818,,,6
"V. <i>Observations on the various changes which take place on treating uric with nitrous acid, and on a new acid callea “erythric” thence produced</i>",6,,1818,7,,7
Untersuchungen über die salpetrige Säure,6,General Physics and Astronomy,1818,,,8
"Chemische Entdeckungen im Mineralreiche, gemacht zu Fahlun in Schweden: Selenium ein neuer metallartiger Körper, Lithon ein neues Alkali, Thorina eine neue Erde",5,General Physics and Astronomy,1818,,,9
Ueber die Verbindungen des Stickstoffs mit dem Sauerstoff,5,General Physics and Astronomy,1818,,,10
XXII. Observations on the Natural Affinities that connect the Orders and Families of Birds.,170,,1825,5,,1
XXX. EXTRACTS from the MINUTE-BOOK of the LINNEAN SOCIETY of LONDON.,115,,1825,5,,2
Beschreibung mehrere neuer oder bisher nur unvollständig bekannter Mineralien,33,General Physics and Astronomy,1825,,,3
Ueber das Gesetz der elektrischen Abstossungskraft,24,General Physics and Astronomy,1825,,,4
Höhenbestimmungen in der Schweiz,18,General Physics and Astronomy,1825,,,5
Ueber die in den Meteorsteinen vorkommenden krystallisirten Mineralien,17,General Physics and Astronomy,1825,,,6
Geognostischer Ueberblick über Christianias Territorium,12,General Physics and Astronomy,1825,,,7
"XXV. Anatomical Observations on the Natural Group of Tunicata, with the Description of three Species collected in Fox Channel during the late Northern Expedition.",12,,1825,5,,8
"Zusatz zu der Abhandlung: Untersuchung der Mineralwasser von Karlsbad, nebst Untersuchung einiger anderer Mineralwässer des Ellenbogner Kreises in Böhmen",10,General Physics and Astronomy,1825,,,9
Notiz über das Trona oder das natürliche kohlensaure Natron von Fezzan,9,General Physics and Astronomy,1825,,,10
"Ricerche intorno ad alcuni punti di elettro-fisiologia; Memoria di Antonio Cima Professore di fisica nel Collegio Nazionale di Torino, Premiata dall'Accademia delle Scienze dell'Istituto di Bologna",35,"Astronomy and Astrophysics, Nuclear and High Energy Physics, Atomic and Molecular Physics, and Optics",1859,12,,1
Ueber die verschiedenen Zustände der Kieselsäure,33,General Physics and Astronomy,1859,,,2
"Sull’ assorbimento delle radici; considerazioni e ricerche del dottor ALFONSO COSSA, assistente alla cattedra di medicina legale e polizia medica nella universita’ di pavia.",32,"Astronomy and Astrophysics, Nuclear and High Energy Physics, Atomic and Molecular Physics, and Optics",1859,12,,3
Ueber einige Metamorphosen des Acetons der Essigsäure,31,"Organic Chemistry, Physical and Theoretical Chemistry, Organic Chemistry, Physical and Theoretical Chemistry",1859,,,4
Ueber Aequivalente und Aequivalentbestimmung im Allgemeinen,29,General Physics and Astronomy,1859,,,5
Ueber die Verdichtung von Gasen und Dämpfen auf der Oberfläche fester Körper,25,General Physics and Astronomy,1859,,,6
Beiträge zur normalen und pathologischen Anatomie der Plexus choroides,22,"Cell Biology, Molecular Biology, General Medicine, Pathology and Forensic Medicine",1859,3,,7
Reviews and bibliographical notices,21,General Medicine,1859,5,,8
Ueber die Electrolyse höherer Verbindungsstufen,20,"Organic Chemistry, Physical and Theoretical Chemistry, Organic Chemistry, Physical and Theoretical Chemistry",1859,,,9
Untersuchungen über das Aceton,20,"Organic Chemistry, Physical and Theoretical Chemistry, Organic Chemistry, Physical and Theoretical Chemistry",1859,,,10
Syntax,251,,1869,,,1
"Ueber einige Maassregeln der Gesundheitspflege und Bevölkerungspolitik bei den Griechen, Römern, Indern Egyptern und Juden",122,"Cell Biology, Molecular Biology, General Medicine, Pathology and Forensic Medicine",1869,1,,2
Die Wege des Fettes in der Darmschleimhaut bei seiner Resorption,71,"Cell Biology, Molecular Biology, General Medicine, Pathology and Forensic Medicine",1869,9,,3
Lautverhältnisse und schreibung,67,,1869,,,4
Beiträge zur Lehre von der Eigenwärme und dem Fieber,64,"Cell Biology, Molecular Biology, General Medicine, Pathology and Forensic Medicine",1869,1,,5
Pharmakologische Studien über Chinin,59,"Cell Biology, Molecular Biology, General Medicine, Pathology and Forensic Medicine",1869,3,,6
General‐Versammlung vom 11. December,47,Inorganic Chemistry,1869,1,,7
Beiträge zur Pathologie und Therapie des Glaucoms,46,"Cellular and Molecular Neuroscience, Sensory Systems, Ophthalmology",1869,12,,8
Flexion,45,,1869,,,9
XIX.—<i>On the Boulder-Clay of Europe</i>,45,"General Earth and Planetary Sciences, General Environmental Science",1869,,,10
Use of the Bibliography,18587,,1982,,,1
Bibliography,15799,,1982,,,2
Abstracts of Documents in this Supplement,10079,,1982,,,3
Bibliography,8024,,1982,,,4
Bibliography,7935,,1982,,,5
Bibliography,7627,,1982,,,6
Bibliography,5742,,1982,,,7
Bibliography,5295,,1982,,,8
References,3784,,1982,,,9
References,3575,,1982,,,10
"XVIII. Observations on the Lepra Arabum, or Elephantiasis of the Greeks, as it appears in India",42,,1827,1,,1
Untersuchungen über das Thermometer,23,General Physics and Astronomy,1827,,,2
Ueber den Schillerspath von der Baste,20,General Physics and Astronomy,1827,,,3
"VIII. Account of the Banyan-Tree, or Ficus Indica, as found in the ancient Greek and Roman Authors",20,,1827,1,,4
"XX. An Account of Greek, Parthian, and Hindu Medals, found in India",17,,1827,1,,5
XXIII. On the Sráwacs or Jains,13,,1827,1,,6
Ueber die Hauptursachen der Temperatur-Verschiedenheit auf dem Erdkörper,13,General Physics and Astronomy,1827,,,7
Ueber das Daseyn einer Gränze in der Verdampfung,10,General Physics and Astronomy,1827,,,8
X. <i>The Bakerian Lecture. On the relations of electrical and chemical changes</i>,10,,1827,1,,9
Ueber die chemische Zusammensetzung der Apatite,10,General Physics and Astronomy,1827,,,10
"Worte zur 50jährigen pharmaceutischen Jubelfeier des Herrn Geh. Hofraths und Ritters, Prof. Trommsdorff, am 1. October 1834 in der öffentlichen Sitzung zu Erfurt vorgetragen",45,"Drug Discovery, Pharmaceutical Science",1835,,,1
"Art. II.—<i>Observations on Atmospheric Influence, chiefly in reference to the Climate and Diseases of Eastern Regions, in Five Parts</i>",28,"General Arts and Humanities, Cultural Studies",1835,1,,2
Versuche über Stärkmehl und Stärkmehlzucker,27,General Physics and Astronomy,1835,,,3
Ueber den Einfluss des Monds auf den Barometerstand und die Regenmenge nach 27-jährigen zu Strassburg angestellten Beobachtungen,21,General Physics and Astronomy,1835,,,4
"II. Nachrichten von einzelnen Arzneipflanzen und aus dem Gewächsreiche stammenden, zum medicinischen Gebrauche dienenden Droguen",20,"Organic Chemistry, Physical and Theoretical Chemistry, Organic Chemistry, Physical and Theoretical Chemistry",1835,,,5
II. <i>Of the structure of animals</i>,20,,1835,1,,6
"Ueber den Einfluss des Mondes auf den Barometerstand und die Regenmenge, nach 27jährigen zu Strassburg angestellten Beobachtungen",19,General Physics and Astronomy,1835,,,7
Ueber einige Producte der trocknen Destillation,18,General Physics and Astronomy,1835,,,8
"Ueber die Zusammensetzung des Wassers vom Elton-See im asiatischen Russland, verglichen mit der des Meerwassers und der des Wassers vom Caspischen Meere",16,General Physics and Astronomy,1835,,,9
"Ueber einen Cyclus von zwölf Zwillingsgesetzen, nach welchen die Krystalle der ein- und eingliedrigen Feldspathgattungen verwachsen",15,General Physics and Astronomy,1835,,,10
Dr. Joh. Barth. Trommsdorff,304,"Drug Discovery, Pharmaceutical Science",1839,,,1
Dr. Joh. Barth. Trommsdorff,108,"Drug Discovery, Pharmaceutical Science",1839,,,2
Der gegenwärtige Zustand unserer Kenntnisse von der strahlenden Wärme,55,"Organic Chemistry, Physical and Theoretical Chemistry, Organic Chemistry, Physical and Theoretical Chemistry",1839,,,3
Dreizehnte Reihe von Experimental-Untersuchungen über Elektricität,54,General Physics and Astronomy,1839,,,4
"XXIII. <i>On the older stratified rocks of North Devon, with correlative remarks concerning transition or protozoic regions in general</i>",26,,1839,8,,5
VI. <i>The colours of the atmosphere considered with reference to a previous paper “On the colour of steam under certain circumstances.”</i>,25,,1839,7,,6
Ueber die Häufigkeit der Gewitter in den Polar - Regionen,25,General Physics and Astronomy,1839,,,7
Ueber den Milchbranntwein,23,"Organic Chemistry, Physical and Theoretical Chemistry, Organic Chemistry, Physical and Theoretical Chemistry",1839,,,8
LXIII. <i>The colours of the atmosphere considered with reference to a previous paper “On the colour of steam under certain circumstances”</i>,23,,1839,6,,9
LIV. <i>Experimental researches in electricity.—Fifteenth series</i>,20,,1839,11,,10
"XLIX. <i>On the mineral structure of the south of Ireland, with correlative matter on Devon and Cornwall, Belgium, the Eifel, &amp;c</i>",46,,1840,4,,1
Ueber die galvanischen Ketten aus zwei Flüssigkeiten und zwei einander nicht berührenden Metallen,32,General Physics and Astronomy,1840,,,2
"Untersuchung des Allanit, Orthit, Cerin und Gadolinit",22,General Physics and Astronomy,1840,,,3
Ueber die Temperatur der Westseite von Südamerika,21,General Physics and Astronomy,1840,,,4
"Ueber Holzgeist, Xylit, Mesit und deren Zersetzungsproducte durch Kali und Kalium",19,General Physics and Astronomy,1840,,,5
"LIX. <i>On the mineral structure of the south of Ireland, with correlative matter on Devon and Cornwall, Belgium, the Eifel</i>",16,,1840,5,,6
Ueber den Einfluss des Kalks bei der Darstellung des Zuckers;,16,"Drug Discovery, Pharmaceutical Science",1840,,,7
"LXXXIII. <i>On galvanic circuits composed of two fluids, and of two metals not in contact</i>",15,,1840,1,,8
Ueber den Chabasit und Gmelinit,15,General Physics and Astronomy,1840,,,9
Bemerkungen über einige russische Volks-Arzneimittel;,13,"Drug Discovery, Pharmaceutical Science",1840,,,10
Biographisches Denkmal für Dr. Heinrich Friedrich Link,61,"Drug Discovery, Pharmaceutical Science",1852,,,1
Impfversuche mit dem Blute und den Ausleerungen Cholerakranker,31,"Cell Biology, Molecular Biology, General Medicine, Pathology and Forensic Medicine",1852,3,,2
Ueber die Constitution der Citronensäure,29,"Organic Chemistry, Physical and Theoretical Chemistry, Organic Chemistry, Physical and Theoretical Chemistry",1852,,,3
Chemisch — mineralogische Untersuchung der Taunusschiefer,28,"Organic Chemistry, Physical and Theoretical Chemistry, Organic Chemistry, Physical and Theoretical Chemistry",1852,,,4
Ueber das mechanische Aequivalent einer elektrischen Entladung und die dabei stattfindende Erwärmung des Leitungsdrahtes,28,General Physics and Astronomy,1852,,,5
Art. XV. —Notes Introductory to Sassanian Mint Monograms and Gems. With a Supplementary Notice on the Arabico-Pehlvi Series of Persian Coins,23,"General Arts and Humanities, Cultural Studies",1852,1,,6
Ueber die Fluorsalze des Antimons,22,General Physics and Astronomy,1852,,,7
I.<i>Observations in the alps on the optical phœnomena of the atmosphere</i>,21,,1852,1,,8
Ueber das Jalappaharz,21,"Organic Chemistry, Physical and Theoretical Chemistry, Organic Chemistry, Physical and Theoretical Chemistry",1852,,,9
Ueber die Ausdehnung einiger fester Körper durch die Wärme,21,"Organic Chemistry, Physical and Theoretical Chemistry, Organic Chemistry, Physical and Theoretical Chemistry",1852,,,10
Die pflanzlichen Nahrungs- und Genussmittel,1237,,1904,,,1
Thierische Nahrungs- und Genussmittel,904,,1904,,,2
Die selbständig gewordene Pharmazie,808,,1904,,,3
Veränderungen der Nährstoffe durch die Verdauung und Aufgabe derselben für die Ernährung,555,,1904,,,4
Über die Beeinflussung des Stoffwechsels durch einige pharmakologisch wichtige Stoffe,551,,1904,3,,5
XVI. Jahrhundert,418,,1904,,,6
657. Ueber die Entwickelung der Chemie des Pyrrols im letzten Vierteljahrhundert,410,Inorganic Chemistry,1904,11,,7
Bibliography of Archaeological Books 1903,407,"Archeology, Archeology",1904,4,1,8
Griechenland,404,,1904,,,9
Das XVII. Jahrhundert,383,,1904,,,10
Uber den gegenwärtigen Stand der Frage nach der Lokalisation im Grosshirn,1459,"Physiology (medical), Pharmacology, General Medicine, Physiology, Biochemistry",1907,12,,1
Uber den gegenwärtigen Stand der Frage nach der Lokalisation im Grosshirn,1459,"Surgery, Pediatrics, Perinatology and Child Health",1907,12,,2
Der gegenwärtige Stand der Spinalanalgesie,764,Surgery,1907,7,,3
Bibliography of Archaeological Books 1906,417,"Archeology, Archeology",1907,4,1,4
Förteckning,378,"General Earth and Planetary Sciences, General Environmental Science",1907,1,,5
Our debt to Ireland in the study of the circulation,352,,1907,12,,6
Allgemeine Chemie der Enzyme,306,,1907,12,,7
A Plant-Tumor of Bacterial Origin,257,Multidisciplinary,1907,4,26,8
Fünfzehnte Vorlesung,226,,1907,,,9
III. Abteilung.,214,"Literature and Literary Theory, Visual Arts and Performing Arts, History",1907,,,10
D. Die einzelnen romanischen Sprachen und Literaturen.,3422,"Literature and Literary Theory, Linguistics and Language, Language and Linguistics",1914,,,1
Harnorgane,1819,,1914,,,2
Die Hämangiome und ihre Behandlung,1624,,1914,,,3
Infektionskrankheiten,1603,,1914,,,4
Bauchorgane,1479,,1914,,,5
Experimentelle anorganische Chemie und Elektrochemie im Jahre 1913,1452,General Medicine,1914,2,17,6
Herabsetzung der Schmerzempfindung,1334,,1914,,,7
Schwangerschaft,1274,,1914,,,8
Wirtschaftspflege,1123,,1914,,,9
Uterus,976,,1914,,,10
Ergebnisse der experimentellen Toxikologie,1432,,1919,12,,1
"Förteckning öfver svensk geologisk, paleontologisk, petrografisk och mineralogisk litteratur för åren 1907–1917",1149,"General Earth and Planetary Sciences, General Environmental Science",1919,12,,2
Die Vergiftungen,658,,1919,,,3
"Die Untersuchung der Rückenmarksflüssigkeit, ihre Methoden und ihre Ergebnisse mit besonderer Berücksichtigung der Syphilis",565,"Dermatology, General Medicine",1919,9,,4
Übersicht über den jetzigen Stand der Schulgesundheitspflege mit besonderer Berücksichtigung der durch den Krieg geschaffenen Verhältnisse,490,,1919,,,5
Beziehungen der weiblichen Sexualorgane zu den Erkrankungen der übrigen Organe,486,,1919,,,6
Milch und Milcherzeugnisse,432,,1919,,,7
Der Gasbrand,412,,1919,,,8
"Übererregbarkeit im Kindesalter, mit besonderer Berücksichtigung der kindlichen Tetanie (pathologischen Spasmophilie)",410,,1919,,,9
How the nitrogen problem has been solved,410,"Applied Mathematics, Computer Networks and Communications, Signal Processing, Control and Systems Engineering",1919,6,,10
Erbleiden des Nervensystems beim Menschen,1518,,1939,,,1
Kreislaufstörungen der Lunge,1427,,1939,,,2
Biomechanische Gebiß- und Kieferorthopädie (Orthodontie),1113,,1939,,,3
Fokalinfektion,1095,,1939,,,4
Die Pathologie der Wirbelsäule,1061,,1939,,,5
Mikrobiologie des Bodens,970,,1939,,,6
"Pathologie und pathologische Anatomie des Nutz- und Raubwildes, sowie sonstiger wildlebender Säugetiere und Vögel",940,,1939,,,7
Der Mechanismus der Wärmeregulation,928,"Physiology (medical), Pharmacology, General Medicine, Physiology, Biochemistry",1939,12,,8
Metastatische Knochengeschwülste,900,,1939,,,9
Erbpsychologie der Elementarfunktionen der Begabung,863,,1939,,,10
Recent Work in the Field of High Pressures,682,General Physics and Astronomy,1946,1,1,1
LIST OF REFERENCES,665,Psychiatry and Mental health,1946,6,,2
Cytology of cereals. II,605,"Plant Science, Ecology, Evolution, Behavior and Systematics",1946,5,,3
A Synopsis of the Monogenetic Trematodes.,547,,1946,12,,4
Protein deficiency in man,525,"Gastroenterology, General Medicine",1946,3,,5
Manifestations of Nutritional Deficiency in Infants,443,,1946,,,6
The general adaptation syndrome and the diseases of adaptation,391,General Medicine,1946,11,,7
The Influence of Ramon Lull and Jan van Ruysbroeck on the Language of the Spanish Mystics,383,"Literature and Literary Theory, Philosophy, Religious studies, Visual Arts and Performing Arts",1946,,,8
Territorial Jurisdiction,368,,1946,,,9
"Prehistory in Ireland, 1937–46",350,General Medicine,1946,,,10
Die chemische Regulierung des Wachstums,4994,,1961,,,1
Energy Levels of Nuclei A = 21 to A = 212,3574,,1961,,,2
B. Sprachwissenschaft,2851,"Literature and Literary Theory, Linguistics and Language, Language and Linguistics",1961,,,3
Effects of radiation on growth and development,2094,,1961,,,4
Schallausbreitung,1999,,1961,,,5
Bibliography / Bibliographie,1920,,1961,,,6
Leben und Werke Brechts,1877,,1961,,,7
Die Antimykotica,1670,,1961,,,8
Bibliography,1651,,1961,,,9
Recent Research in the Field of 5-Hydroxytryptamine and Related Indolealkylamines,1604,,1961,,,10
Photosynthesis Bibliography volume 1 1966/1970,5621,,1974,,,1
Pocken(Pox)- und verwandte Viren,4324,,1974,,,2
Herpes- und verwandte Viren,3700,,1974,,,3
Bibliography,3312,,1974,,,4
Lysozyme Bibliography: 1922–1972,2648,,1974,,,5
Indirekte Verfahren zur Gewinnung des schmiedbaren Eisens,2483,,1974,,,6
References,2451,,1974,,,7
Paraproteinämische Hämoblastosen,2397,,1974,,,8
Pharmaceutical Sciences — 1973: Literature Review of Pharmaceutics,2123,Pharmaceutical Science,1974,7,,9
Supplement: 21st rheumatism review,2088,"Pharmacology (medical), Immunology, Rheumatology, Immunology and Allergy",1974,9,,10
Intoxikationen,4622,,1958,,,1
Carbonsäuren,1609,,1958,,,2
"Alkohole, Phenole, Naphthole",1330,,1958,,,3
Störungen des Kaliumstoffwechsels und ihre klinische Bedeutung,1271,,1958,,,4
γ-Pyronderivate,1226,,1958,,,5
Mechanisms of reflex dilatation of the pupil,1214,"Physiology (medical), Sensory Systems, Ophthalmology",1958,,,6
Bibliography,1163,,1958,,,7
Die Ermittlung der Nährstoffbedürftigkeit des Bodens,1141,,1958,,,8
"Technische Fette, Fettprodukte und verwandte Stoffe",1086,,1958,,,9
Die Diagnose und Behandlung von Fremdkörpern im Thorax,985,,1958,,,10
References,4302,,2007,4,18,1
The Aegean Bronze Age,3793,,2007,11,29,2
Psychotropic and Neurotropic Activity,3773,,2007,,,3
References,3739,,2007,3,9,4
The Iron Age in the Western Mediterranean,3710,,2007,11,29,5
Demography,3699,,2007,11,29,6
Classical Greece: Production,3688,,2007,11,29,7
Early Iron Age Greece,3631,,2007,11,29,8
Cardiovascular Activity,3624,,2007,,,9
Classical Greece: Distribution,3618,,2007,11,29,10
"Untersuchugen und Erfahrungen über die Seitenmittheilung der Bewegung in flüssigen Körpern, angewandt auf die Erklärung verschiedener hydraulischer Erscheinungen",14,General Physics and Astronomy,1799,,,1
Beschreibung Neuer Barometer mit einigen Zusätzen,14,General Physics and Astronomy,1799,,,2
Versuche und Bemerkungen über die Bewegungen des Kamphers auf dem Wasser,13,General Physics and Astronomy,1799,,,3
"Untersuchungen über die Luft, welche aus dem Wasser durch electrische Funken entwickelt wird",12,General Physics and Astronomy,1799,,,4
"Versuche mit Künstlicher Kålte, angestellt",11,General Physics and Astronomy,1799,,,5
Bemerkungen über die sehr beträchtlich hohen und grossen Feuerkugeln,10,General Physics and Astronomy,1799,,,6
"Anweisung zum Gebrauche des Areometers von Say ohne Barometerbeobachtungen; allgemeiner Beweis des Mariottischen Gesetzes, und Bemerkungen über dieses Gesetz",8,General Physics and Astronomy,1799,,,7
Beschreibung Neuer Thermometer,8,General Physics and Astronomy,1799,,,8
Electrische Versuche mit kohlenhaltigem Wasserstoffgas,8,General Physics and Astronomy,1799,,,9
Versuche und Beobachtungen über die Fortpflanzung der Wärme in Flüssigkeiten,8,General Physics and Astronomy,1799,,,10
"Vorkommen, Darstellung, Eigenschaften und Nachweis der bis jetzt aus dem Tierkörper gewonnenen Stoffe",5627,,1924,,,1
Die Pupille und ihre Untersuchung,1747,,1924,,,2
Klinische Bedeutung der Serodiagnose bei Syphilis,1323,,1924,,,3
Die Strikturen der Harnröhre,1200,,1924,,,4
"Untersuchung tierischer Flüssigkeiten, Gewebe und Konkretionen",1160,,1924,,,5
D. Die einzelnen romanischen Sprachen und Literaturen.,1048,"Literature and Literary Theory, Linguistics and Language, Language and Linguistics",1924,,,6
Nervensystem,952,,1924,,,7
Verdauungsapparat,885,,1924,,,8
Zusammenfassende Studie über die Ergebnisse der Serodiagnostik der Tuberkulose und Lepra,883,,1924,,,9
Pflanzliche und tierische Fette und Öle,863,,1924,,,10
Die Sprache und ihre Störungen,1326,,1949,,,1
Texte,1086,,1949,,,2
Section D. Nutritive value of milk and milk products,918,"Animal Science and Zoology, General Medicine, Food Science",1949,1,,3
Section C. Dairy Chemistry and Physics: Part I. Chemistry and Physical Chemistry,752,"Animal Science and Zoology, General Medicine, Food Science",1949,12,,4
The Host‐associations of the lice of mammals,642,General Medicine,1949,8,,5
Allgemeiner Teil,618,,1949,,,6
Die Stimme und ihre Störungen,612,,1949,,,7
Krebsbehandlung. Krebsheilung. Krebsverhütung,608,,1949,,,8
Forderungsrechte,580,,1949,,,9
Central and East Java,566,,1949,,,10
Die Bestimmung einzelner Elemente,3306,,1964,,,1
B. Sprachwissenschaft,3293,"Literature and Literary Theory, Linguistics and Language, Language and Linguistics",1964,,,2
Miyagawanellen,2931,,1964,,,3
Myxoviren,2450,,1964,,,4
The Thyroid,2027,,1964,,,5
The Thyroid,2027,,1964,,,6
BIBLIOGRAPHY,1896,,1964,,,7
Arbor-Viren (durch Arthropoden übertragbare Viren),1716,,1964,,,8
BIBLIOGRAPHY OF VITAL STATISTICS IN AUSTRALIA AND NEW ZEALAND*,1643,Statistics and Probability,1964,8,,9
Cell Culture and Cancer Chemotherapy,1622,,1964,,,10
The Mla Committee on Bibliography and Other Contributors to The Bibliography for 1966,20568,"Literature and Literary Theory, Linguistics and Language, Language and Linguistics",1967,6,,1
